Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
29/01/2019,2019,Mercedes E-Class,86577,2,North America,Canada,Wholesale
29/01/2019,2019,Mercedes GLC Coupe,106369,4,Africa,Egypt,Dealership
29/01/2019,2019, Mercedes GLB,80929,1,South America,Brazil,Dealership
30/01/2019,2019, Mercedes EQB,57081,5,Asia,China,Wholesale
30/01/2019,2019,Mercedes GLC,32751,1,Africa,Nigeria,Dealership
31/01/2019,2019, Mercedes AMG C63 Coupe,70194,1,Africa,Egypt,Dealership
31/01/2019,2019,Mercedes GLA,88479,5,Africa,Kenya,Dealership
31/01/2019,2019,Mercedes CLE Coupe,56953,4,Africa,Kenya,Wholesale
,,,,,,,
31/01/2019,2019, Mercedes GLB,48642,3,Asia,China,Wholesale
31/01/2019,2019,Mercedes GLE,81176,5,Asia,Japan,Wholesale
31/01/2019,2019,Mercedes GLS,51863,5,North America,Mexico,Wholesale
31/01/2019,2019,Mercedes EDQ Sedan,48114,1,Europe,France,Dealership
1/2/2019,2019,Mercedes GLE,86843,5,Africa,Morocco,Dealership
1/2/2019,2019,Mercedes EDQ Sedan,72563,2,Europe,Spain,Wholesale
1/2/2019,2019,Mercedes CLE Coupe,60373,3,Europe,United Kingdom,Wholesale
,,,,,,,
1/2/2019,2019,Mercedes CLS Coupe,108104,1,Europe,Spain,Wholesale
1/2/2019,2019,Mercedes GLC Coupe,94746,4,Asia,South Korea,Wholesale
1/2/2019,2019,Mercedes GLE,116973,4,North America,United States,Dealership
2/2/2019,2019,Mercedes C-Class Coupe,77470,4,South America,Brazil,Wholesale
,,,,,,,
2/2/2019,2019,Mercedes GLE,75760,4,Asia,China,Dealership
3/2/2019,2019,Mercedes GLC,109449,4,Africa,Kenya,Wholesale
3/2/2019,2019,Mercedes A-Class Sedan,73884,1,Asia,India,Wholesale
,,,,,,,
3/2/2019,2019,Mercedes E-Class,35565,2,Europe,United Kingdom,Wholesale
3/2/2019,2019, Mercedes EQB,116488,2,Africa,South Africa,Wholesale
3/2/2019,2019,Mercedes GLE Coupe,107554,4,Asia,Japan,Wholesale
4/2/2019,2019,Mercedes E-Class,51340,2,South America,Argentina,Wholesale
4/2/2019,2019,Mercedes GLC,108651,3,South America,Peru,Wholesale
5/2/2019,2019, Mercedes AMG C63 Coupe,61772,2,South America,Chile,Dealership
6/2/2019,2019,Mercedes CLE Coupe,112888,5,North America,Canada,Dealership
,,,,,,,
6/2/2019,2019,Mercedes S-Class,88975,4,Asia,Japan,Dealership
6/2/2019,2019,Mercedes EDQ Sedan,111344,5,Europe,France,Wholesale
7/2/2019,2019,Mercedes EQA,36918,5,Asia,India,Wholesale
7/2/2019,2019,Mercedes GLC,80711,4,South America,Brazil,Dealership
7/2/2019,2019, Mercedes GLB,60070,1,North America,Mexico,Dealership
7/2/2019,2019,Mercedes CLE Coupe,43366,2,North America,United States,Wholesale
,,,,,,,
8/2/2019,2019,Mercedes GLA,39200,3,Asia,China,Dealership
8/2/2019,2019,Mercedes AMG C63 S,89151,1,Asia,Japan,Dealership
8/2/2019,2019,Mercedes GLE,53226,3,Africa,Morocco,Wholesale
8/2/2019,2019,Mercedes GLE,116891,4,Asia,Thailand,Wholesale
8/2/2019,2019,Mercedes-Benz Kamloops,90085,2,Europe,Germany,Wholesale
8/2/2019,2019, Mercedes AMG C63 Coupe,53486,1,Europe,United Kingdom,Dealership
9/2/2019,2019,Mercedes EQE SUV,34700,4,Europe,Germany,Wholesale
9/2/2019,2019, Mercedes AMG C63 Coupe,111863,1,Asia,South Korea,Dealership
9/2/2019,2019, Mercedes AMG C63 Coupe,37988,5,South America,Colombia,Wholesale
10/2/2019,2019,Mercedes S-Class,31634,2,Africa,South Africa,Wholesale
10/2/2019,2019,Mercedes CLE Coupe,94052,2,South America,Argentina,Wholesale
,,,,,,,
10/2/2019,2019,Mercedes EQA,73352,4,Europe,United Kingdom,Wholesale
11/2/2019,2019,Mercedes GLE Coupe,90634,4,Asia,India,Dealership
11/2/2019,2019,Mercedes GLS,75939,4,Africa,Morocco,Wholesale
11/2/2019,2019,Mercedes AMG SL 63,95327,2,Europe,Germany,Dealership
13/02/2019,2019,Mercedes GLC Coupe,117498,5,South America,Peru,Dealership
13/02/2019,2019, Mercedes EQB,100938,2,Europe,Spain,Wholesale
13/02/2019,2019,Mercedes AMG SL 63,36900,4,North America,Canada,Wholesale
14/02/2019,2019, Mercedes AMG C63 Coupe,49332,3,Africa,South Africa,Wholesale
14/02/2019,2019, Mercedes GLB,100672,5,Asia,China,Wholesale
15/02/2019,2019,Mercedes GLC,101627,2,North America,Canada,Wholesale
15/02/2019,2019,Mercedes S-Class,98203,3,South America,Brazil,Dealership
15/02/2019,2019,Mercedes AMG GT 4-Door Coupe,118499,5,Asia,Japan,Dealership
15/02/2019,2019,Mercedes AMG CLA 45,85943,2,Asia,Japan,Wholesale
16/02/2019,2019,Mercedes A-Class Sedan,36221,4,South America,Brazil,Dealership
,,,,,,,
16/02/2019,2019,Mercedes AMG C63 S,51788,2,North America,Canada,Wholesale
16/02/2019,2019,Mercedes S-Class,59350,5,Asia,Thailand,Wholesale
17/02/2019,2019,Mercedes S-Class,43264,4,Africa,Nigeria,Wholesale
17/02/2019,2019,Mercedes EDQ Sedan,60816,1,North America,United States,Wholesale
17/02/2019,2019,Mercedes GLA,37426,3,South America,Peru,Wholesale
18/02/2019,2019,Mercedes C-Class Coupe,44287,4,Europe,Spain,Dealership
,,,,,,,
18/02/2019,2019,Mercedes S-Class,119622,4,Asia,India,Wholesale
18/02/2019,2019,Mercedes GLE Coupe,78659,5,Asia,India,Dealership
19/02/2019,2019,Mercedes GLE Coupe,91852,5,Africa,Nigeria,Wholesale
19/02/2019,2019, Mercedes EQB,42583,3,Europe,Germany,Wholesale
19/02/2019,2019,Mercedes AMG SL 63,67455,5,Europe,United Kingdom,Wholesale
19/02/2019,2019,Mercedes GLC Coupe,102454,4,Asia,India,Wholesale
19/02/2019,2019,Mercedes GLE,113401,3,Europe,Italy,Wholesale
20/02/2019,2019,Mercedes AMG SL 63,63314,3,South America,Colombia,Wholesale
20/02/2019,2019,Mercedes AMG SL 63,42134,2,Europe,United Kingdom,Dealership
20/02/2019,2019,Mercedes AMG SL 63,67525,4,Africa,Kenya,Wholesale
20/02/2019,2019, Mercedes AMG C63 Coupe,90345,4,Africa,Morocco,Wholesale
21/02/2019,2019,Mercedes CLA Coupe,63617,5,North America,Mexico,Wholesale
,,,,,,,
21/02/2019,2019,Mercedes CLA Coupe,93444,4,Europe,United Kingdom,Wholesale
,,,,,,,
21/02/2019,2019,Mercedes GLE Coupe,113489,5,Africa,Kenya,Wholesale
21/02/2019,2019,Mercedes EDQ Sedan,36487,4,Europe,Italy,Wholesale
22/02/2019,2019,Mercedes AMG GT 4-Door Coupe,84890,2,Europe,Spain,Wholesale
22/02/2019,2019,Mercedes GLE,86865,4,Asia,Japan,Wholesale
22/02/2019,2019, Mercedes EQB,76295,2,Africa,Nigeria,Wholesale
23/02/2019,2019,Mercedes GLE,117702,4,Asia,China,Wholesale
24/02/2019,2019,Mercedes CLS Coupe,80294,4,Asia,Thailand,Wholesale
24/02/2019,2019, Mercedes GLB,108959,1,North America,Mexico,Wholesale
24/02/2019,2019, Mercedes AMG C63 Coupe,106844,4,Africa,Nigeria,Dealership
25/02/2019,2019,Mercedes E-Class,81564,2,North America,Mexico,Wholesale
25/02/2019,2019,Mercedes GLC Coupe,35804,3,South America,Chile,Dealership
26/02/2019,2019,Mercedes GLE Coupe,78643,2,Africa,Kenya,Wholesale
27/02/2019,2019,Mercedes CLA Coupe,119063,4,North America,Mexico,Dealership
,,,,,,,
27/02/2019,2019,Mercedes AMG SL 63,64635,5,South America,Argentina,Wholesale
27/02/2019,2019,Mercedes AMG GT 4-Door Coupe,43068,1,South America,Colombia,Wholesale
28/02/2019,2019,Mercedes GLE Coupe,92306,5,Africa,Morocco,Wholesale
28/02/2019,2019,Mercedes GLC Coupe,97639,1,Asia,India,Wholesale
28/02/2019,2019,Mercedes GLE,34163,1,North America,Canada,Dealership
2/3/2019,2019,Mercedes-Benz Kamloops,65169,5,North America,Canada,Wholesale
2/3/2019,2019,Mercedes GLE Coupe,46515,4,Africa,Nigeria,Wholesale
3/3/2019,2019,Mercedes CLE Coupe,101533,2,Africa,Kenya,Dealership
,,,,,,,
3/3/2019,2019, Mercedes GLB,89432,5,North America,United States,Wholesale
3/3/2019,2019,Mercedes-Benz Kamloops,115343,3,South America,Argentina,Wholesale
4/3/2019,2019,Mercedes C-Class Coupe,114463,1,Africa,Morocco,Wholesale
,,,,,,,
4/3/2019,2019,Mercedes EQE SUV,97741,2,South America,Peru,Wholesale
4/3/2019,2019,Mercedes E-Class,109517,3,Asia,China,Dealership
4/3/2019,2019,Mercedes GLS,72018,2,North America,Canada,Wholesale
5/3/2019,2019,Mercedes EDQ Sedan,92546,4,North America,Canada,Dealership
5/3/2019,2019,Mercedes CLS Coupe,110490,3,North America,Canada,Dealership
5/3/2019,2019,Mercedes S-Class,106167,5,Europe,Germany,Dealership
6/3/2019,2019,Mercedes GLC Coupe,107179,2,South America,Argentina,Dealership
7/3/2019,2019,Mercedes AMG GT 4-Door Coupe,59292,5,North America,Canada,Wholesale
7/3/2019,2019,Mercedes-Benz Kamloops,88990,5,Africa,South Africa,Wholesale
7/3/2019,2019,Mercedes CLE Coupe,58949,2,Europe,Italy,Dealership
,,,,,,,
7/3/2019,2019,Mercedes EQA,86964,2,Africa,Kenya,Dealership
8/3/2019,2019,Mercedes S-Class,97541,1,Africa,Kenya,Dealership
8/3/2019,2019,Mercedes AMG CLA 45,97419,1,Europe,France,Wholesale
8/3/2019,2019,Mercedes CLA Coupe,64527,3,Africa,South Africa,Dealership
,,,,,,,
8/3/2019,2019,Mercedes EQA,58385,3,South America,Argentina,Wholesale
8/3/2019,2019,Mercedes S-Class,68913,3,Asia,Japan,Dealership
9/3/2019,2019,Mercedes AMG C63 S,104861,1,Asia,Thailand,Wholesale
9/3/2019,2019,Mercedes EQE SUV,74133,5,Africa,Nigeria,Wholesale
10/3/2019,2019,Mercedes AMG SL 63,101484,4,Africa,Egypt,Dealership
10/3/2019,2019,Mercedes CLS Coupe,89481,4,South America,Chile,Wholesale
10/3/2019,2019,Mercedes CLE Coupe,44227,2,Africa,Egypt,Wholesale
,,,,,,,
11/3/2019,2019,Mercedes GLC,105969,1,North America,Mexico,Dealership
11/3/2019,2019, Mercedes GLB,96042,2,North America,Mexico,Dealership
12/3/2019,2019,Mercedes A-Class Sedan,65271,4,North America,United States,Wholesale
,,,,,,,
12/3/2019,2019,Mercedes A-Class Sedan,112594,2,Asia,South Korea,Wholesale
,,,,,,,
12/3/2019,2019,Mercedes AMG E63 S,105653,1,South America,Argentina,Wholesale
12/3/2019,2019,Mercedes GLC,55775,1,North America,Mexico,Wholesale
13/03/2019,2019,Mercedes-Benz Kamloops,45014,1,South America,Peru,Dealership
13/03/2019,2019,Mercedes CLE Coupe,69314,4,Europe,Italy,Wholesale
,,,,,,,
14/03/2019,2019,Mercedes EDQ Sedan,63336,1,Asia,China,Wholesale
14/03/2019,2019,Mercedes GLE,90690,3,South America,Peru,Wholesale
14/03/2019,2019,Mercedes E-Class,56627,3,Europe,Germany,Wholesale
15/03/2019,2019,Mercedes CLS Coupe,37587,1,Africa,Kenya,Wholesale
15/03/2019,2019,Mercedes AMG GT 4-Door Coupe,73023,3,South America,Colombia,Wholesale
15/03/2019,2019,Mercedes S-Class,64229,1,South America,Brazil,Wholesale
15/03/2019,2019,Mercedes AMG GT 4-Door Coupe,32870,4,Asia,Thailand,Wholesale
15/03/2019,2019,Mercedes GLC Coupe,77457,3,North America,Canada,Wholesale
16/03/2019,2019,Mercedes A-Class Sedan,65500,4,South America,Peru,Wholesale
,,,,,,,
16/03/2019,2019,Mercedes GLA,119547,3,Europe,United Kingdom,Dealership
16/03/2019,2019,Mercedes E-Class,93503,5,South America,Brazil,Dealership
17/03/2019,2019, Mercedes AMG C63 Coupe,92237,5,South America,Colombia,Wholesale
18/03/2019,2019,Mercedes E-Class,117694,4,Africa,Egypt,Wholesale
18/03/2019,2019,Mercedes EDQ Sedan,102378,3,Africa,Nigeria,Dealership
18/03/2019,2019, Mercedes GLB,41423,5,Europe,Spain,Dealership
19/03/2019,2019,Mercedes EQE SUV,49039,1,Asia,China,Wholesale
19/03/2019,2019,Mercedes AMG SL 63,64511,2,North America,Canada,Wholesale
20/03/2019,2019,Mercedes GLE Coupe,109798,5,North America,United States,Wholesale
20/03/2019,2019,Mercedes GLE Coupe,53583,5,Africa,South Africa,Dealership
20/03/2019,2019,Mercedes GLC Coupe,52765,1,South America,Brazil,Wholesale
20/03/2019,2019,Mercedes-Benz Kamloops,106730,5,North America,United States,Wholesale
20/03/2019,2019,Mercedes GLC,94546,5,North America,United States,Wholesale
20/03/2019,2019,Mercedes S-Class,69530,5,Europe,Spain,Wholesale
20/03/2019,2019,Mercedes GLC,58111,3,North America,United States,Wholesale
20/03/2019,2019, Mercedes EQB,31076,5,South America,Chile,Wholesale
21/03/2019,2019,Mercedes CLA Coupe,106752,2,North America,Mexico,Dealership
,,,,,,,
22/03/2019,2019,Mercedes AMG C63 S,44567,3,Europe,Spain,Wholesale
23/03/2019,2019,Mercedes CLS Coupe,70289,3,South America,Argentina,Wholesale
23/03/2019,2019,Mercedes C-Class Coupe,63299,4,North America,Mexico,Dealership
,,,,,,,
23/03/2019,2019,Mercedes CLA Coupe,54463,5,Europe,France,Wholesale
,,,,,,,
23/03/2019,2019, Mercedes GLB,107195,2,Europe,Germany,Wholesale
24/03/2019,2019, Mercedes GLB,80978,2,North America,Canada,Wholesale
25/03/2019,2019,Mercedes EQA,61852,4,South America,Colombia,Wholesale
25/03/2019,2019,Mercedes GLC Coupe,76779,2,Asia,India,Dealership
26/03/2019,2019,Mercedes GLS,58333,3,North America,Mexico,Wholesale
26/03/2019,2019,Mercedes EQE SUV,41629,1,Asia,India,Dealership
26/03/2019,2019,Mercedes CLS Coupe,68648,3,Europe,Germany,Wholesale
26/03/2019,2019,Mercedes A-Class Sedan,102681,1,Europe,Spain,Wholesale
,,,,,,,
26/03/2019,2019,Mercedes EDQ Sedan,62919,2,Europe,Spain,Wholesale
26/03/2019,2019,Mercedes GLA,84289,5,South America,Chile,Wholesale
27/03/2019,2019,Mercedes GLC,85441,1,Asia,Thailand,Wholesale
27/03/2019,2019,Mercedes AMG GT 4-Door Coupe,119294,3,South America,Chile,Wholesale
27/03/2019,2019,Mercedes GLE,76809,3,Asia,South Korea,Wholesale
27/03/2019,2019, Mercedes AMG C63 Coupe,106031,3,Africa,Egypt,Wholesale
27/03/2019,2019,Mercedes EDQ Sedan,68875,3,Asia,China,Wholesale
28/03/2019,2019,Mercedes E-Class,42069,4,Africa,Nigeria,Dealership
28/03/2019,2019,Mercedes EQA,93726,2,Asia,Japan,Dealership
28/03/2019,2019,Mercedes GLC,114682,5,Europe,Spain,Wholesale
28/03/2019,2019,Mercedes AMG SL 63,49887,4,Europe,United Kingdom,Dealership
29/03/2019,2019,Mercedes AMG GT 4-Door Coupe,30605,2,North America,United States,Wholesale
29/03/2019,2019,Mercedes GLC,107952,1,Asia,South Korea,Wholesale
30/03/2019,2019,Mercedes AMG GT 4-Door Coupe,84697,4,South America,Chile,Wholesale
30/03/2019,2019,Mercedes AMG CLA 45,83649,4,South America,Peru,Wholesale
31/03/2019,2019, Mercedes GLB,114559,4,Africa,Morocco,Dealership
31/03/2019,2019,Mercedes GLE Coupe,73426,4,Asia,Japan,Wholesale
31/03/2019,2019, Mercedes GLB,71682,1,Africa,Kenya,Wholesale
1/4/2019,2019,Mercedes GLE,73388,3,Asia,Japan,Dealership
1/4/2019,2019,Mercedes GLS,80142,4,Africa,Nigeria,Dealership
1/4/2019,2019,Mercedes AMG SL 63,90049,2,South America,Argentina,Wholesale
2/4/2019,2019,Mercedes AMG CLA 45,100540,3,South America,Chile,Wholesale
2/4/2019,2019,Mercedes GLA,90361,1,Asia,Japan,Wholesale
3/4/2019,2019,Mercedes A-Class Sedan,64519,5,Europe,Spain,Dealership
,,,,,,,
3/4/2019,2019,Mercedes AMG SL 63,118992,1,Africa,Nigeria,Wholesale
5/4/2019,2019,Mercedes AMG E63 S,88353,5,South America,Chile,Wholesale
5/4/2019,2019,Mercedes EDQ Sedan,69648,2,Asia,India,Wholesale
5/4/2019,2019,Mercedes C-Class Coupe,33573,5,South America,Colombia,Wholesale
,,,,,,,
5/4/2019,2019,Mercedes CLE Coupe,106859,4,Africa,Nigeria,Wholesale
,,,,,,,
5/4/2019,2019,Mercedes EDQ Sedan,91599,3,South America,Chile,Wholesale
5/4/2019,2019,Mercedes AMG GT 4-Door Coupe,103965,3,South America,Argentina,Wholesale
6/4/2019,2019,Mercedes CLE Coupe,110373,4,Asia,China,Wholesale
,,,,,,,
6/4/2019,2019,Mercedes E-Class,65377,3,South America,Peru,Wholesale
7/4/2019,2019, Mercedes EQB,116923,1,Europe,Spain,Wholesale
7/4/2019,2019, Mercedes AMG C63 Coupe,114728,4,Asia,Japan,Wholesale
7/4/2019,2019,Mercedes AMG GT 4-Door Coupe,72986,4,Europe,Spain,Wholesale
7/4/2019,2019,Mercedes GLC Coupe,53810,3,Europe,Spain,Wholesale
7/4/2019,2019,Mercedes AMG SL 63,69768,5,Asia,China,Dealership
8/4/2019,2019,Mercedes GLC,60100,2,Asia,Thailand,Wholesale
8/4/2019,2019,Mercedes AMG SL 63,112871,5,Africa,Morocco,Wholesale
8/4/2019,2019,Mercedes CLS Coupe,91264,1,South America,Chile,Wholesale
9/4/2019,2019,Mercedes GLA,67269,4,North America,United States,Wholesale
9/4/2019,2019,Mercedes CLE Coupe,79781,4,Asia,Japan,Dealership
,,,,,,,
9/4/2019,2019,Mercedes GLE Coupe,89113,1,North America,United States,Wholesale
9/4/2019,2019,Mercedes S-Class,79190,2,South America,Argentina,Dealership
9/4/2019,2019, Mercedes AMG C63 Coupe,33646,4,North America,United States,Wholesale
10/4/2019,2019,Mercedes EQA,88413,5,North America,Canada,Dealership
10/4/2019,2019,Mercedes GLS,84626,1,Africa,Morocco,Wholesale
10/4/2019,2019,Mercedes-Benz Kamloops,103750,4,North America,Canada,Dealership
12/4/2019,2019,Mercedes EQE SUV,48001,5,North America,Canada,Wholesale
12/4/2019,2019,Mercedes S-Class,105043,1,Africa,Morocco,Wholesale
13/04/2019,2019,Mercedes EQE SUV,95039,1,Europe,Germany,Dealership
13/04/2019,2019,Mercedes A-Class Sedan,38360,1,Africa,Kenya,Dealership
,,,,,,,
14/04/2019,2019,Mercedes EQE SUV,57014,2,Asia,India,Wholesale
15/04/2019,2019,Mercedes E-Class,115658,1,Africa,Kenya,Wholesale
15/04/2019,2019,Mercedes CLS Coupe,34909,3,North America,Mexico,Wholesale
15/04/2019,2019,Mercedes C-Class Coupe,107090,3,Africa,Kenya,Wholesale
,,,,,,,
16/04/2019,2019,Mercedes-Benz Kamloops,62007,1,Europe,Germany,Dealership
16/04/2019,2019,Mercedes GLS,112141,4,South America,Brazil,Wholesale
17/04/2019,2019,Mercedes GLA,117691,3,Africa,Morocco,Dealership
17/04/2019,2019,Mercedes S-Class,112990,5,Europe,Germany,Wholesale
17/04/2019,2019,Mercedes CLE Coupe,78556,5,South America,Chile,Wholesale
,,,,,,,
17/04/2019,2019,Mercedes GLE,93177,4,Africa,Egypt,Wholesale
17/04/2019,2019,Mercedes GLS,98495,5,Africa,Morocco,Dealership
18/04/2019,2019,Mercedes E-Class,44559,4,Asia,Japan,Dealership
19/04/2019,2019,Mercedes AMG GT 4-Door Coupe,110919,5,Africa,Kenya,Wholesale
19/04/2019,2019,Mercedes GLC,66963,1,South America,Chile,Dealership
19/04/2019,2019,Mercedes AMG SL 63,101521,5,North America,Mexico,Dealership
20/04/2019,2019,Mercedes CLS Coupe,98201,1,South America,Brazil,Wholesale
20/04/2019,2019,Mercedes GLC Coupe,42869,5,North America,Canada,Wholesale
20/04/2019,2019,Mercedes EQE SUV,74974,5,North America,Mexico,Dealership
20/04/2019,2019, Mercedes AMG C63 Coupe,110535,5,South America,Argentina,Dealership
20/04/2019,2019,Mercedes AMG CLA 45,106489,1,Africa,Morocco,Dealership
21/04/2019,2019,Mercedes EDQ Sedan,79117,5,Asia,India,Dealership
21/04/2019,2019,Mercedes GLA,57609,5,Europe,United Kingdom,Dealership
22/04/2019,2019,Mercedes GLE,93956,2,Africa,Egypt,Wholesale
22/04/2019,2019,Mercedes CLS Coupe,32976,1,South America,Brazil,Dealership
22/04/2019,2019,Mercedes GLA,53138,3,Asia,India,Wholesale
22/04/2019,2019,Mercedes AMG GT 4-Door Coupe,47843,4,Africa,Nigeria,Wholesale
22/04/2019,2019,Mercedes GLE,62559,2,South America,Argentina,Dealership
22/04/2019,2019,Mercedes AMG GT 4-Door Coupe,108255,5,Asia,India,Dealership
23/04/2019,2019,Mercedes A-Class Sedan,64162,3,Europe,United Kingdom,Wholesale
,,,,,,,
23/04/2019,2019,Mercedes AMG E63 S,59048,3,South America,Argentina,Wholesale
23/04/2019,2019,Mercedes GLC,106347,5,Asia,Thailand,Dealership
23/04/2019,2019, Mercedes AMG C63 Coupe,104397,5,South America,Brazil,Wholesale
23/04/2019,2019, Mercedes AMG C63 Coupe,81759,2,Asia,Thailand,Wholesale
23/04/2019,2019,Mercedes AMG E63 S,48220,1,North America,United States,Wholesale
23/04/2019,2019,Mercedes AMG GT 4-Door Coupe,31887,2,South America,Brazil,Wholesale
24/04/2019,2019, Mercedes EQB,93153,1,Africa,Morocco,Wholesale
24/04/2019,2019,Mercedes GLE,44852,3,Europe,France,Dealership
24/04/2019,2019, Mercedes EQB,86938,4,Europe,United Kingdom,Wholesale
25/04/2019,2019,Mercedes AMG GT 4-Door Coupe,104398,5,Asia,South Korea,Wholesale
25/04/2019,2019,Mercedes AMG GT 4-Door Coupe,49351,2,North America,United States,Wholesale
26/04/2019,2019,Mercedes E-Class,116506,3,Africa,Morocco,Dealership
